C002-13 Split A Run 1 abs. SM5420C-030-A  Sensor ID 1 Socket No. 1.txt																																																							
C002-13	A	abs. 	1	SM5420C-030-A		1	1	0	25.0	3	30.00	0	5.000	300	26.12	24.99	22.80	26.230	26.210	25.860	26.190	25.970	26.320	26.070	26.100	5.000679	20.328	floating	N/A	A	29.999800	0.000280	disabled	0.000000	0.000000	14.76110	78.00633	N/A	N/A	0.00121	78.00478	78.00809	0.00331	2.505353	2.544346	2.466360	1.02871	4861.112	0	0	0	0	0	2/4/2013	7:45:40 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	0	25.0	4	15.00	0	5.000	400	25.91	24.99	22.98	26.020	25.980	25.700	25.940	25.800	26.070	25.880	25.870	5.000673	20.351	floating	N/A	A	15.001000	-0.000016	disabled	0.000000	0.000000	14.76160	32.15082	N/A	N/A	0.00075	32.14951	32.15176	0.00225	2.504728	2.520791	2.488665	1.02984	4855.762	0	0	0	0	0	2/4/2013	8:03:33 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	0	25.0	5	0.50	0	5.000	500	25.77	24.99	22.93	25.900	25.810	25.580	25.770	25.690	25.900	25.760	25.710	5.000690	20.367	floating	N/A	A	0.499988	-0.000657	disabled	0.000000	0.000000	14.76190	-12.24264	N/A	N/A	0.00114	-12.24426	-12.24082	0.00344	2.504095	2.497964	2.510226	1.03067	4851.903	0	0	0	0	0	2/4/2013	8:20:15 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	1	50.0	0	0.50	0	5.000	10000	50.40	49.98	47.39	50.600	50.410	50.270	50.350	50.320	50.550	50.390	50.300	5.000648	19.149	floating	N/A	A	0.500010	0.000030	disabled	0.000000	0.000000	14.76970	-11.99508	N/A	N/A	0.00124	-11.99721	-11.99380	0.00341	2.504356	2.498342	2.510371	0.96932	5158.926	0	0	0	0	0	2/4/2013	10:28:18 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	1	50.0	1	15.00	0	5.000	10100	50.74	49.98	47.62	50.890	50.810	50.550	50.760	50.590	50.950	50.660	50.690	5.000655	19.122	floating	N/A	A	14.998500	0.000227	disabled	0.000000	0.000000	14.77020	30.21585	N/A	N/A	0.00137	30.21409	30.21761	0.00353	2.504994	2.520089	2.489899	0.96807	5165.608	0	0	0	0	0	2/4/2013	10:47:03 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	1	50.0	2	30.00	0	5.000	10200	50.83	50.01	47.41	50.990	50.910	50.620	50.870	50.660	51.060	50.750	50.790	5.000655	19.107	floating	N/A	A	29.998000	0.000156	disabled	0.000000	0.000000	14.77190	73.88823	N/A	N/A	0.00146	73.88613	73.88994	0.00382	2.505642	2.542573	2.468711	0.96719	5170.270	0	0	0	0	0	2/4/2013	11:03:39 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	1	50.0	3	30.00	0	5.000	10300	50.75	50.01	47.60	50.910	50.820	50.550	50.780	50.590	50.970	50.680	50.700	5.000659	19.111	floating	N/A	A	30.002400	-0.000127	disabled	0.000000	0.000000	14.77280	73.89428	N/A	N/A	0.00111	73.89289	73.89601	0.00312	2.505642	2.542577	2.468708	0.96749	5168.688	0	0	0	0	0	2/4/2013	11:14:10 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	1	50.0	4	15.00	0	5.000	10400	50.55	50.01	47.57	50.720	50.590	50.390	50.530	50.430	50.730	50.510	50.480	5.000649	19.132	floating	N/A	A	14.998800	-0.000211	disabled	0.000000	0.000000	14.77500	30.13721	N/A	N/A	0.00166	30.13314	30.13962	0.00649	2.505049	2.520102	2.489996	0.96859	5162.839	0	0	0	0	0	2/4/2013	11:32:51 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	1	50.0	5	0.50	0	5.000	10500	50.38	50.01	47.36	50.590	50.390	50.260	50.330	50.300	50.530	50.380	50.290	5.000658	19.149	floating	N/A	A	0.500009	0.000145	disabled	0.000000	0.000000	14.77330	-12.16058	N/A	N/A	0.00108	-12.16236	-12.15904	0.00332	2.504440	2.498346	2.510534	0.96937	5158.681	0	0	0	0	0	2/4/2013	11:49:09 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	2	75.0	0	0.50	0	5.000	20000	75.06	75.01	72.63	75.320	75.050	74.970	74.970	74.970	75.240	75.050	74.940	5.000663	17.959	floating	N/A	A	0.500060	0.000125	disabled	0.000000	0.000000	14.77150	-12.15639	N/A	N/A	0.00036	-12.15720	-12.15601	0.00118	2.503869	2.497777	2.509961	0.90890	5501.873	0	0	0	0	0	2/5/2013	2:03:08 AM
